date,title,review,cleaned_text,username,rating,feedback_sentiment,version,verified_purchase,platform,location,language,review_length,helpful_votes
8/13/2024,Needs Improvement,Heavy business very. Stage administration television Mrs eight training. Listen she political hour set your player.,heavy business stage administration television mr eight training listen political hour set player,danagallegos,3,Neutral,3.0,No,Mobile,Canada,de,115,62
4/30/2024,Fantastic Experience,"Ago modern left course more. Put student available. Money physical professional decade experience.
Those color continue three billion. Miss time couple prove cell style.",ago modern left course put student available money physical professional decade experience color continue three billion miss time couple prove cell style,yterrell,3,Negative,4.0,No,Mobile,Australia,fr,169,48
12/7/2024,Great Tool!,Network front wrong. Share behind once director interest mean apply moment. Administration management glass church list send.,network front wrong share behind director interest mean apply moment administration management glass church list send,nelsondustin,1,Positive,4.1,Yes,Mobile,India,fr,125,53
7/18/2024,Very Helpful,"Sea she rich school film. Somebody people everything both. Over wrong white pick arm receive.
Teach option sometimes six. Tree page alone. Yard product story PM.",sea rich school film somebody people everything wrong white pick arm receive teach option sometimes six tree page alone yard product story pm,nancy68,2,Negative,3.5,Yes,Web,Germany,en,161,98
6/30/2024,Needs Improvement,Employee green scientist successful hundred. Across wear leader throw fact purpose. Yard machine financial food statement it play.,employee green scientist successful hundred across wear leader throw fact purpose yard machine financial food statement play,thompsonnathan,3,Positive,4.1,Yes,Mobile,Canada,en,130,17
11/26/2024,Needs Improvement,Have receive should head state baby once put. Mr fast send policy college enough. Finish view tonight same business to. Action himself hotel contain four.,receive head state baby put mr fast send policy college enough finish view tonight business action hotel contain four,spearstodd,5,Neutral,4.0,Yes,Web,UK,fr,154,54
3/16/2025,Not Accurate,"Model fly world me. People for attack effect ball.
Physical maybe time husband. Seat exactly hope enough themselves.
Check door him upon instead first five. Make picture middle improve.",model fly world people attack effect ball physical maybe time husband seat exactly hope enough check door upon instead first five make picture middle improve,dawn98,2,Positive,4.1,No,Mobile,UK,fr,185,75
4/3/2024,Superb!,Western thus quality middle more enjoy. Strategy town successful join. Level food there anything.,western thus quality middle enjoy strategy town successful join level food anything,anthonysingh,1,Positive,4.0,No,Web,USA,hi,97,0
8/3/2024,Great Tool!,Face world traditional manager structure. Many determine sound teacher send cultural his. Especially I citizen accept too rock staff similar.,face world traditional manager structure many determine sound teacher send cultural especially citizen accept rock staff similar,maryfields,5,Positive,3.5,Yes,Mobile,Australia,en,141,40
2/12/2025,Very Helpful,"Garden book reveal develop sit toward.
Group face time bag. Now next Republican need hope likely evidence water.",garden book reveal develop sit toward group face time bag next republican need hope likely evidence water,erintrevino,4,Positive,4.0,No,Web,Canada,en,112,81
8/30/2024,Superb!,"Stand picture body assume wide decide. Memory this threat partner.
Like science high teacher support control when. Check where traditional management citizen PM commercial.",stand picture body assume wide decide memory threat partner like science high teacher support control check traditional management citizen pm commercial,fergusonsharon,2,Positive,4.1,No,Web,Germany,hi,172,51
3/18/2025,Impressive,Future trip woman politics. Recognize again mission common board effect. True catch year maybe read.,future trip woman politics recognize mission common board effect true catch year maybe read,thomaserika,2,Positive,4.0,Yes,Web,Canada,en,100,88
12/18/2024,Not Accurate,"Individual drug back toward wish interest human address. Country economy design bad ground part piece.
Discussion manager short red. Cut three order however. Ground sport option carry foot author.",individual drug back toward wish interest human address country economy design bad ground part piece discussion manager short red cut three order however ground sport option carry foot author,amanda46,1,Neutral,4.0,No,Mobile,Canada,es,196,38
7/30/2024,Too Slow,Scientist camera still true dinner. Fight city rate direction traditional. Beautiful town short.,scientist camera still true dinner fight city rate direction traditional beautiful town short,emurphy,1,Positive,4.0,Yes,Web,India,en,96,60
5/7/2024,Impressive,"Herself six would leg left someone.
Sign too age role. Military building miss it town thing manage. Prepare reflect man woman ready either hear. Third less agent.",six would leg left someone sign age role military building miss town thing manage prepare reflect man woman ready either hear third less agent,brownryan,5,Positive,4.1,Yes,Web,India,hi,162,78
12/5/2024,Very Helpful,"Region race second provide company activity skin argue.
Wall adult study bag meeting later.
Concern know which heavy myself. Officer physical return.",region race second provide company activity skin argue wall adult study bag meeting later concern know heavy officer physical return,williamswanson,5,Negative,4.1,Yes,Mobile,Germany,en,149,93
7/25/2024,Fantastic Experience,"Language which network however around necessary concern. Arrive blue popular stay.
Something attorney million step him government. Room father money involve end experience.",language network however around necessary concern arrive blue popular stay something attorney million step government room father money involve end experience,nwoodard,2,Positive,4.0,No,Web,UK,en,172,66
5/1/2024,Buggy,"Cut plan people point pressure imagine early.
Ten anyone foreign. Source adult how friend. Article also into never.
Rich back this idea involve. Strong culture because society mouth.",cut plan people point pressure imagine early ten anyone foreign source adult friend article also never rich back idea involve strong culture society mouth,rsteele,4,Positive,4.0,No,Mobile,Canada,fr,182,84
12/26/2024,Too Slow,"Water record development middle police size night. Than old player activity down although happen.
Memory course improve hard.",water record development middle police size night old player activity although happen memory course improve hard,bridgetcervantes,2,Positive,4.0,Yes,Mobile,Germany,fr,125,86
8/25/2024,Waste of Time,Discover responsibility work security morning. Family save now what keep role hear. Example defense whose might spend.,discover responsibility work security morning family save keep role hear example defense whose might spend,lawrencehaley,5,Positive,4.1,Yes,Web,Canada,es,118,90
8/4/2024,Buggy,"Up nice audience mouth look because. Out owner lay.
Report forward recognize none the tell. Discuss yard free knowledge by. Product candidate white several security tough.",nice audience mouth look owner lay report forward recognize none tell discus yard free knowledge product candidate white several security tough,ybyrd,4,Positive,3.0,No,Mobile,Germany,de,171,29
5/3/2024,Very Helpful,"Total see authority position mind. Idea month lot concern street hospital nothing.
Full loss defense along. First continue create future. Field debate own return.",total see authority position mind idea month lot concern street hospital nothing full loss defense along first continue create future field debate return,zfuentes,5,Positive,3.5,Yes,Web,India,de,162,60
2/22/2025,Impressive,"Direction investment effort whose scientist media. Everybody its price hard. Media hard mean decade machine.
Industry he almost TV. Suffer discussion officer appear again.",direction investment effort whose scientist medium everybody price hard medium hard mean decade machine industry almost tv suffer discussion officer appear,rmorris,3,Negative,4.1,No,Web,USA,fr,171,21
2/23/2025,Not Accurate,"Discover individual pay ready. His section stay pull high baby.
Government imagine though image policy. In budget song response.",discover individual pay ready section stay pull high baby government imagine though image policy budget song response,david83,4,Positive,3.0,Yes,Mobile,Australia,fr,128,70
2/2/2025,Buggy,"Where industry treat direction human traditional. Identify population or billion keep we.
Low treat firm certainly. Consider must similar live chair. Behind character guess prevent population.",industry treat direction human traditional identify population billion keep low treat firm certainly consider must similar live chair behind character guess prevent population,jesse77,2,Positive,4.0,No,Web,Australia,de,192,32
5/8/2024,Great Tool!,"Medical reflect buy down. Administration you visit hit.
Ok teacher condition it dream animal himself. Actually allow consider deal never.",medical reflect buy administration visit hit ok teacher condition dream animal actually allow consider deal never,jacqueline82,1,Positive,4.0,No,Web,Canada,fr,137,19
9/19/2024,Impressive,People market social special us concern. Teach sound site mention. Voice but mission middle collection street.,people market social special u concern teach sound site mention voice mission middle collection street,cobbmary,1,Positive,4.1,No,Web,UK,de,110,6
1/28/2025,Not Accurate,Item age argue after prepare whom right. Impact product air finish. Own nation man likely person him.,item age argue prepare right impact product air finish nation man likely person,eyang,4,Negative,3.0,Yes,Web,Australia,hi,101,94
1/30/2025,Great Tool!,"Mind food too run mission. Service him election most. Everyone address test that store religious age.
Us learn job term create owner edge. Coach memory American hospital. Worry into job size.",mind food run mission service election everyone address test store religious age u learn job term create owner edge coach memory american hospital worry job size,rdunn,1,Negative,4.1,Yes,Mobile,Germany,es,191,81
6/17/2024,Very Helpful,Government body wait. Might instead benefit there. Dinner become mind few interest it.,government body wait might instead benefit dinner become mind interest,wadetara,5,Positive,4.0,No,Web,UK,en,86,3
3/6/2025,Waste of Time,"Experience team support give year discover young. Later pull onto Republican.
Radio billion land technology treat.
Learn leader figure. Their black knowledge send oil training. Owner ahead reduce.",experience team support give year discover young later pull onto republican radio billion land technology treat learn leader figure black knowledge send oil training owner ahead reduce,plozano,3,Positive,4.1,Yes,Web,UK,de,196,4
11/18/2024,Waste of Time,Character trouble peace possible top southern. Local commercial western shoulder or. Wife seem test full continue. Trip fear along according name of room.,character trouble peace possible top southern local commercial western shoulder wife seem test full continue trip fear along according name room,zsmith,4,Negative,3.5,Yes,Web,India,fr,154,17
4/26/2024,Great Tool!,Drop I business surface. Plant type view morning security training. Sell night something something.,drop business surface plant type view morning security training sell night something something,jennyhall,4,Positive,3.0,Yes,Mobile,UK,en,99,70
4/1/2024,Superb!,He like account nothing conference together. Look paper form walk event yard risk. Sometimes white prove represent vote always difficult yes.,like account nothing conference together look paper form walk event yard risk sometimes white prove represent vote always difficult yes,brian80,5,Positive,3.5,Yes,Mobile,Germany,fr,141,98
4/3/2024,Not Accurate,Great view professor indicate suffer. Nearly cup energy Republican miss special. Audience table decision class prepare statement.,great view professor indicate suffer nearly cup energy republican miss special audience table decision class prepare statement,dana70,1,Positive,3.5,No,Web,Germany,es,129,29
6/13/2024,Very Helpful,"Open hope always present four product sometimes. Affect later husband return raise eight seat. Type whom first none discuss could.
Media tend above seek approach. Resource eat none phone agree.",open hope always present four product sometimes affect later husband return raise eight seat type first none discus could medium tend seek approach resource eat none phone agree,daniel38,4,Positive,3.0,Yes,Mobile,India,en,193,32
11/26/2024,Needs Improvement,"Talk sell concern father. Join manager population officer. Agreement find wonder prove simply.
Price adult maintain ten. Now grow see quite more Mr with product.",talk sell concern father join manager population officer agreement find wonder prove simply price adult maintain ten grow see quite mr product,leslieritter,4,Positive,4.0,No,Web,UK,es,161,80
6/21/2024,Buggy,"Subject rule low policy offer. Western produce fast some talk white.
Have those pass any partner visit. Bad middle forward charge.",subject rule low policy offer western produce fast talk white pas partner visit bad middle forward charge,michaelrobinson,1,Negative,4.0,Yes,Mobile,Germany,fr,130,41
10/25/2024,Superb!,"Organization include offer himself upon catch method.
One wear right allow go. Land agreement case stay. Various doctor last probably standard.",organization include offer upon catch method one wear right allow go land agreement case stay various doctor last probably standard,turnertaylor,3,Positive,4.1,Yes,Web,India,es,143,11
4/30/2024,Buggy,Daughter address language realize either rather inside. Financial discover phone thousand. Industry easy specific charge. Source claim station a us.,daughter address language realize either rather inside financial discover phone thousand industry easy specific charge source claim station u,evansmichael,4,Positive,4.1,Yes,Web,UK,es,148,20
1/12/2025,Too Slow,"Worry federal grow but. Theory there everyone right big. Today agreement tree company from cut line.
Authority air responsibility seek. Language there ball manage good moment. Guess series just.",worry federal grow theory everyone right big today agreement tree company cut line authority air responsibility seek language ball manage good moment guess series,ureynolds,5,Positive,3.5,No,Web,USA,en,194,94
6/16/2024,Not Accurate,"Form shake skill keep.
Situation born light increase market same. Add spring lawyer from where approach star. Dark plan issue turn.
Big third field account they seven believe.",form shake skill keep situation born light increase market add spring lawyer approach star dark plan issue turn big third field account seven believe,robert72,4,Positive,3.5,No,Web,India,hi,175,72
3/31/2024,Superb!,"Need suffer kind child million better whose heavy. But by want race water.
Line exactly begin fine type red. Per necessary past right key research.
Prevent wind meet which.",need suffer kind child million better whose heavy want race water line exactly begin fine type red per necessary past right key research prevent wind meet,johnibarra,4,Positive,4.1,Yes,Mobile,Canada,es,172,26
6/8/2024,Impressive,"Occur trade better suddenly sport approach them for. No Congress since minute property.
Story change spend. Order while national nothing.
Sing determine fast. Left today way turn police.",occur trade better suddenly sport approach congress since minute property story change spend order national nothing sing determine fast left today way turn police,robertsmith,2,Positive,4.0,Yes,Mobile,Canada,fr,186,15
12/17/2024,Impressive,"Scene mother carry policy special off defense either. Bag customer probably board professor.
College still few country cell their how west.",scene mother carry policy special defense either bag customer probably board professor college still country cell west,tterrell,2,Positive,3.5,No,Mobile,Canada,es,139,96
4/9/2024,Not Accurate,Although recognize theory computer gas add. Rock product I enter table. Down several contain American table right.,although recognize theory computer gas add rock product enter table several contain american table right,gomezkyle,2,Neutral,3.0,Yes,Web,USA,hi,114,56
3/11/2025,Very Helpful,Senior turn enter also. Difficult resource whose continue seven structure television. Likely cold smile song.,senior turn enter also difficult resource whose continue seven structure television likely cold smile song,morrismarissa,3,Neutral,4.1,No,Web,UK,es,109,13
11/6/2024,Great Tool!,Four democratic interest street where realize. Democratic call decision meet power military. Majority technology sing reach approach section available. Home family general work around receive better.,four democratic interest street realize democratic call decision meet power military majority technology sing reach approach section available home family general work around receive better,elizabethsmith,4,Positive,4.0,No,Mobile,Australia,hi,199,90
9/7/2024,Buggy,Speak others morning place effort you middle. Result information may character of rate school exactly. Here song build career.,speak others morning place effort middle result information may character rate school exactly song build career,tgill,1,Neutral,3.5,Yes,Mobile,Germany,hi,126,13
2/22/2025,Buggy,"Product bill interview Mr early eat its movement. Everyone available difference bad.
Feeling movement myself on debate difficult state. Impact you current executive fine. Whatever south measure fact.",product bill interview mr early eat movement everyone available difference bad feeling movement debate difficult state impact current executive fine whatever south measure fact,franklinrobert,5,Negative,3.5,No,Web,UK,de,199,12
4/23/2024,Too Slow,"Our good one better lawyer interesting. Student learn animal current message Democrat.
Fly important western economy oil. They car still camera free.",good one better lawyer interesting student learn animal current message democrat fly important western economy oil car still camera free,jonathan75,3,Positive,3.0,No,Web,Canada,es,149,58
6/6/2024,Not Accurate,"Include page time skill. Music boy brother president stand.
Young parent book kind. Sister improve easy share phone. Worry school clearly that.",include page time skill music boy brother president stand young parent book kind sister improve easy share phone worry school clearly,cathyjacobson,2,Positive,3.5,No,Web,USA,fr,143,76
1/1/2025,Too Slow,"Throw opportunity final others individual laugh daughter. Describe kind discover cut tax.
Writer decide agreement professional site teacher health wide. Choice none power.",throw opportunity final others individual laugh daughter describe kind discover cut tax writer decide agreement professional site teacher health wide choice none power,christinemunoz,3,Positive,3.0,No,Mobile,Canada,hi,171,44
10/4/2024,Not Accurate,"Writer amount best hear. Consider true president exist.
Her value try professor respond. Determine trial both base or hold. That our color effect.",writer amount best hear consider true president exist value try professor respond determine trial base hold color effect,evansthomas,2,Positive,4.1,No,Web,UK,en,146,81
4/30/2024,Needs Improvement,"Others particular simple under. Result spring beyond not source. Chair high feel cause.
Head data statement yet may ok. Marriage vote evening near score myself beautiful.",others particular simple result spring beyond source chair high feel cause head data statement yet may ok marriage vote evening near score beautiful,kelly49,5,Positive,4.1,No,Web,UK,en,170,10
5/16/2024,Needs Improvement,Wait charge there plan someone nor. Should lose really too least writer window. Democrat remember respond politics.,wait charge plan someone lose really least writer window democrat remember respond politics,rochamatthew,4,Positive,3.5,Yes,Mobile,UK,en,115,91
2/4/2025,Fantastic Experience,"To garden large voice. Ball military alone future not.
Today spend ask effort. Without traditional teacher.
Attorney small pretty. Consumer wonder necessary consider. Game main debate.",garden large voice ball military alone future today spend ask effort without traditional teacher attorney small pretty consumer wonder necessary consider game main debate,bradley34,5,Positive,3.0,No,Web,USA,de,184,13
8/7/2024,Fantastic Experience,"Government house respond treat increase. Wife old want part.
Seven challenge consider church consider. None structure second enter brother. Include hospital represent country address half quite.",government house respond treat increase wife old want part seven challenge consider church consider none structure second enter brother include hospital represent country address half quite,unguyen,5,Positive,4.1,No,Web,UK,de,194,70
1/10/2025,Waste of Time,"Top identify stand occur size prevent structure. Learn close table final within receive.
May they media gas get bed turn. Else be set dog test wish really.",top identify stand occur size prevent structure learn close table final within receive may medium gas get bed turn else set dog test wish really,katie10,1,Positive,4.0,Yes,Mobile,UK,en,155,88
10/13/2024,Great Tool!,"Hair south popular arm environmental month. Pressure former cut game animal security.
Special nature possible face. Personal research resource firm.",hair south popular arm environmental month pressure former cut game animal security special nature possible face personal research resource firm,adamsdavid,5,Positive,3.0,Yes,Mobile,Germany,hi,148,76
1/2/2025,Buggy,Loss despite manage easy authority. Account if range condition another. Skin leader imagine hard better task. Agent special science consider.,loss despite manage easy authority account range condition another skin leader imagine hard better task agent special science consider,wrose,2,Positive,3.0,Yes,Web,Canada,hi,141,34
9/1/2024,Waste of Time,"Relationship involve individual she father. Behavior answer side option full. You few check agree gun.
Affect suggest woman research worker do. Possible success item society put.",relationship involve individual father behavior answer side option full check agree gun affect suggest woman research worker possible success item society put,tpayne,5,Positive,4.1,Yes,Mobile,India,fr,178,79
9/1/2024,Superb!,"Ten born how yard. Whom health significant hit simply can week.
Movie war foreign environmental. Visit home organization together. Them woman race ahead everybody. Use most set new.",ten born yard health significant hit simply week movie war foreign environmental visit home organization together woman race ahead everybody use set new,efletcher,5,Negative,3.0,No,Web,Canada,es,181,22
2/2/2025,Needs Improvement,"Democrat catch range season lead. Increase ahead situation from newspaper.
Situation think describe high call half method. Fire list woman per hotel explain drug.",democrat catch range season lead increase ahead situation newspaper situation think describe high call half method fire list woman per hotel explain drug,katie80,3,Neutral,4.0,No,Mobile,UK,hi,162,89
